,avg,max,med,min,q25,q75,std,activity
26,-0.0013064294178155786,0.0013453253149569534,-0.0014398995563636252,-0.003106748211763377,-0.0018707296433498625,-0.0009515172150885083,0.0009152058717501934,bad_back_tall_arch
27,-0.0012508141816166024,-0.0006774590324908812,-0.0011093402772589921,-0.002578000520338561,-0.0013274883276716048,-0.000856540022281631,0.0005556574589210249,bad_back_tall_arch
28,0.33899731134384115,1.0303443631090268,0.2257927784242534,-0.03479040438562355,0.038512187068756316,0.563673599303392,0.37174086885608004,bad_back_tall_arch
29,-0.00040328083870150766,0.018853086343149382,-0.0005123472786046238,-0.043535673521278274,-0.0017317292908051154,0.0006723933711428178,0.008913665063082032,bad_back_tall_arch
30,-0.0005848221986768555,0.0021248514880244347,-0.0006050750416668003,-0.0026028911320065662,-0.0013337708808482296,0.00021465988769679584,0.0011300364942121643,bad_back_tall_arch
31,-0.0008617250959221323,0.00043883417729613554,-0.0009165270480125969,-0.0019895986498799137,-0.0013460278277746998,-0.0003403690821762137,0.0006187363067941944,bad_back_tall_arch
32,-0.0012765793328630042,0.00024804775809117354,-0.001268862197114273,-0.0029658417260176317,-0.0019218707060348222,-0.0007010432004421709,0.0008541862892198161,bad_back_tall_arch
33,-0.0015816494838953303,-0.0006187621850185609,-0.0015436254133595108,-0.0029963915359515615,-0.0018237768763442275,-0.001259570299457684,0.0005221245564702699,bad_back_tall_arch
34,-0.001709388690807214,0.0006963311870019074,-0.0019647233005911607,-0.0034321255792505315,-0.0029717188155859563,-0.0005968580601693548,0.0013407312041870789,bad_back_tall_arch
35,-0.0012875452913303825,0.00152830194715529,-0.0014284359473824273,-0.0027770223690963655,-0.001849767089611967,-0.0008953216727540183,0.0009211047011114818,bad_back_tall_arch
36,-0.0009690379254277359,0.0022764614939170622,-0.0010334213030775581,-0.003209548079638737,-0.0016591506914832622,-0.0005180099924031686,0.0011428857360818773,bad_back_tall_arch
37,-0.0017388615854325145,-0.0003169307663043951,-0.0017684406564192478,-0.0031744927453385813,-0.002178161298249293,-0.0011771390330208005,0.0006442311678467254,bad_back_tall_arch
38,0.00014695641910505901,0.00749950288632229,-0.00048085929858806154,-0.0034797556083595196,-0.0018870482568506778,0.0014825172947131602,0.0026538973521999776,bad_back_tall_arch
39,-0.0010463207243759335,0.0017952409506074712,-0.0012022321090265884,-0.002902862543461824,-0.002014721936572242,-0.00025870170181023483,0.0011680111564583147,bad_back_tall_arch
40,-0.0021100038730711987,-0.00026750606781716154,-0.002235504410129068,-0.003376085594831359,-0.0026270392927418024,-0.0017019425984690284,0.0007088800478623111,bad_back_tall_arch
41,0.0015039800459521648,0.014959930923249936,-0.001338832971534878,-0.0036857204016113258,-0.0021487584179240185,0.003897403681005232,0.005618605160694786,bad_back_tall_arch
42,0.06833781310101152,1.061916012144503,0.017499803238696494,-0.04271081738127757,0.0013628175184655764,0.06661679600879063,0.17065766643619837,bad_back_tall_arch
43,-0.0025261665048703793,0.0028962419649244137,-0.002753820535235663,-0.004234297346869798,-0.0031616746516978777,-0.0022160655833992986,0.00125947187827171,bad_back_tall_arch
44,-0.002661872635156695,-0.0016568037759877047,-0.002429634945572557,-0.004066348489141515,-0.003206886118246933,-0.002168815735586932,0.0006460847813892132,bad_back_tall_arch
45,-0.003627108335227146,-0.0014498853626573136,-0.0038004318217436024,-0.0043219043757222715,-0.003973400353927851,-0.003527705762295924,0.000619718456218291,bad_back_tall_arch
46,-0.0027721630586467795,-0.001187159820220252,-0.0028445175230655466,-0.004849058956373105,-0.0034186472226880225,-0.0018999793555424696,0.0009432480853172811,bad_back_tall_arch
47,-0.0034259962964487516,-0.002491788185997473,-0.0034611540595278992,-0.004425454304808458,-0.003723116454491353,-0.003094186073821787,0.0004477930634408957,bad_back_tall_arch
48,-0.003222991899356951,0.00015703910507360307,-0.003715660737615553,-0.004758471660308755,-0.0040631901850387755,-0.0028930289845403934,0.00131138264251718,bad_back_tall_arch
49,-0.0035514539368805445,-0.00038643685958287806,-0.003910993794775813,-0.004974612338258251,-0.004491028626803107,-0.003302158442875374,0.001235735422913526,bad_back_tall_arch
50,-0.0027619806234009726,0.001809283011203144,-0.0033059954354319595,-0.004044861422605087,-0.0036288718650833826,-0.002496250998794649,0.00143250656845011,bad_back_tall_arch
51,-0.0031948896208985247,-0.0016445228685626834,-0.0033147467456433803,-0.004210447184104869,-0.0035580026929741193,-0.0028117223268691095,0.0005704364149158553,bad_back_tall_arch
52,-0.003659631687282926,-0.0013778274527482652,-0.003890636050998817,-0.004715417134411947,-0.004131431287645921,-0.0033435064419706606,0.0007690842426908414,bad_back_tall_arch
53,-0.002382623675567592,0.000960074332289392,-0.002741520614122534,-0.004062718418278739,-0.003399403452529584,-0.001593875615619217,0.0013038580454261108,bad_back_tall_arch
54,-0.003276561932892035,-0.002524067156841057,-0.003265380299890838,-0.004017882031372051,-0.003617034074363879,-0.0029556866845154755,0.0004279524541876887,bad_back_tall_arch
55,0.03903946395301852,0.9147111926539208,-0.0008005173365373849,-0.05859447814657837,-0.0027498714338315923,0.002743880900340636,0.166033439543457,bad_back_tall_arch
56,0.0016673476110355939,0.01346946618870498,-0.0011488229974725168,-0.002841889961229066,-0.0023167449068994027,0.00685526448824768,0.005141307389858975,bad_back_tall_arch
